FileName, ElapsedTimeInMillseconds
AlmostInOrder_10.txt,0
AlmostInOrder_10.txt,0
AlmostInOrder_10.txt,0
AlmostInOrder_100.txt,0
AlmostInOrder_100.txt,0
AlmostInOrder_100.txt,0
AlmostInOrder_1000.txt,0
AlmostInOrder_1000.txt,0
AlmostInOrder_1000.txt,0
AlmostInOrder_10000.txt,33
AlmostInOrder_10000.txt,33
AlmostInOrder_10000.txt,33
AlmostInOrder_100000.txt,3262
AlmostInOrder_100000.txt,3272
AlmostInOrder_100000.txt,3279
InOrder_10.txt,0
InOrder_10.txt,0
InOrder_10.txt,0
InOrder_100.txt,0
InOrder_100.txt,0
InOrder_100.txt,0
InOrder_1000.txt,0
InOrder_1000.txt,0
InOrder_1000.txt,0
InOrder_10000.txt,0
InOrder_10000.txt,0
InOrder_10000.txt,0
InOrder_100000.txt,0
InOrder_100000.txt,0
InOrder_100000.txt,0
RandomOrder_10.txt,0
RandomOrder_10.txt,0
RandomOrder_10.txt,0
RandomOrder_100.txt,0
RandomOrder_100.txt,0
RandomOrder_100.txt,0
RandomOrder_1000.txt,1
RandomOrder_1000.txt,1
RandomOrder_1000.txt,1
RandomOrder_10000.txt,137
RandomOrder_10000.txt,138
RandomOrder_10000.txt,137
RandomOrder_100000.txt,13680
RandomOrder_100000.txt,13730
RandomOrder_100000.txt,13655
ReverseOrder_10.txt,0
ReverseOrder_10.txt,0
ReverseOrder_10.txt,0
ReverseOrder_100.txt,0
ReverseOrder_100.txt,0
ReverseOrder_100.txt,0
ReverseOrder_1000.txt,2
ReverseOrder_1000.txt,2
ReverseOrder_1000.txt,2
ReverseOrder_10000.txt,272
ReverseOrder_10000.txt,275
ReverseOrder_10000.txt,273
ReverseOrder_100000.txt,27424
ReverseOrder_100000.txt,27414
ReverseOrder_100000.txt,27464
